No,Kecamatan,Luas (Km2),Penduduk (Ribu),Kepadatan /Km2,RS,Puskesmas,Sekolah,SDN,SMPN,SMAN,UMKM 22,UMKM 23,UMKM 24,UMKM 25,Total UMKM,SPPG,Stasiun KA,LRT,Halte,Terminal,Pasar,Mall
1,Pondokgede,17.43,253.0,14514,3,4,229,30,4,2,20,13,12,2,47,22,0,2,0,0,1,1
2,Jatisampurna,20.19,134.8,6676,4,5,146,17,3,1,18,7,4,0,29,13,0,0,0,0,1,1
3,Pondokmelati,11.02,131.9,11971,1,4,142,18,1,1,2,5,6,0,13,12,0,0,0,0,1,0
4,Jatiasih,24.26,274.6,11320,2,6,258,30,7,2,36,43,15,9,103,26,0,0,0,0,1,0
5,Bantargebang,19.24,113.0,5871,3,4,100,17,3,2,18,6,16,1,41,9,0,0,0,0,0,0
6,Mustikajaya,24.76,245.2,9902,3,4,218,22,5,2,36,26,59,3,124,24,0,0,0,0,0,0
7,Bekasi Timur,14.63,261.3,17860,10,4,255,43,7,3,80,48,44,6,178,23,1,1,8,1,3,5
8,Rawalumbu,16.85,226.5,13441,3,4,217,28,5,1,68,40,22,6,136,24,0,0,0,0,0,1
9,Bekasi Selatan,15.81,213.9,13530,8,5,202,28,6,5,60,58,33,0,151,15,1,1,0,1,0,8
10,Bekasi Barat,14.90,285.6,19169,1,5,215,36,5,1,104,26,16,5,151,16,1,1,1,0,3,0
11,Medansatria,13.21,162.3,12282,6,4,195,13,3,1,12,31,15,1,59,11,0,0,1,0,0,1
12,Bekasi Utara,20.80,351.0,16873,5,6,310,34,7,3,68,59,18,9,154,33,0,0,0,0,3,1
